"","input","filtered","denoisedF","denoisedR","merged","correct_length","nonchim"
"e05164-B",44256,42543,42506,42253,41345,41319,40329
"e05165-A",55780,53643,53550,53291,51418,51418,47540
"e05165-B",53043,51048,50979,50678,48725,48725,45187
"e05166-A",48686,46757,46735,46408,44982,44982,43804
"e05166-B",42916,41251,41217,40772,39150,39150,38012
"e05167-A",54388,52157,52100,51339,48724,48724,47310
"e05167-B",48391,46518,46502,45565,43049,43049,41707
"e05168-A",60601,58218,58186,57993,57170,57170,56899
"e05168-B",52575,50565,50525,50156,49004,49004,48488
"e05169-A",65545,62886,62851,62589,61501,61501,60535
"e05169-B",56986,54861,54832,54579,53447,53447,52348
"e05170-A",40952,39367,39295,38905,36760,36760,31877
"e05170-B",35810,34411,34303,33890,31649,31642,25536
"e05171-A",40067,38525,38503,37971,36037,36037,34275
"e05171-B",44064,42427,42400,41944,39874,39829,38330
"e05172-A",39631,37998,37758,37573,35555,35555,35018
"e05172-B",42507,40887,40859,40367,38083,38083,36823
"e05173-A",55328,53109,53073,52719,51066,51066,48239
"e05173-B",53826,51816,51803,51451,49622,49622,46713
"e05174-A",48854,47037,47014,46809,45711,45711,44781
"e05174-B",45861,44079,44045,43828,42728,42724,41868
"e05175-A",65872,63277,63255,63108,62460,62460,61837
"e05175-B",54728,52689,52674,52537,52027,52027,51485
"e05176-A",51418,49487,49419,49032,47670,47670,46572
"e05176-B",51722,49724,49695,49347,48338,48338,46505
"e05177-A",59860,57590,57544,57368,56572,56572,55784
"e05177-B",51435,49425,49409,49177,48442,48424,47612
"e05178-A",55724,53525,53512,53412,52905,52905,52480
"e05178-B",41232,39627,39562,39438,38481,38469,37241
"e05179-A",60566,58235,58204,57996,57441,57441,56505
"e05179-B",48914,47039,47023,46725,46042,46042,45033
"e05180-A",46637,44721,44680,44503,43826,43826,43484
"e05180-B",41296,39631,39611,39376,38566,38566,38198
"e05181-A",65812,63153,63120,62884,62264,62264,62170
"e05181-B",59329,56948,56929,56610,55923,55923,55850
"e05182-A",52585,50437,50420,50249,49425,49425,48338
"e05182-B",50213,48266,48230,48086,47104,47104,46034
"NC-Meta-A",1165,1116,1104,1054,950,950,950
"NC-Meta-B",1643,1587,1575,1499,1324,1324,1324
"PC-Meta-A",53030,50498,50339,49815,47945,47945,45961
"PC-Meta-B",1248,1164,1134,1036,935,935,935
