"","sample_id","input","filtered","denoisedF","denoisedR","merged","correct_length","nonchim","tax_reads","decon_reads"
"1","e05099-A",40333,38512,38373,38070,35922,35922,35474,34670,34008
"2","e05099-B",29969,28565,28463,28184,26796,26796,26558,25931,25436
"3","e05100-A",34811,33339,33222,32965,31791,31791,31780,31696,31091
"4","e05100-B",24281,23286,23188,22942,22017,22017,21994,21965,21942
"5","e05101-A",1772,1682,1609,1495,1298,1298,1298,821,0
"6","e05101-B",1410,1328,1274,1269,1108,1108,1108,773,0
"7","e05102-A",43722,42032,42021,41629,40789,40789,39130,39130,38383
"8","e05102-B",36515,35072,35044,34638,33693,33693,30825,30822,30234
"9","e05103-A",41233,39343,39086,38688,36574,36218,35764,35732,35049
"10","e05103-B",26065,24909,24638,23896,22889,22878,22490,22439,22011
"11","e05104-A",37748,36257,35820,35611,33550,33550,33061,31109,31076
"12","e05104-B",28329,27216,27002,26659,25084,25079,24473,24415,23949
"13","e05105-A",49140,47226,47134,46656,44838,44826,42374,42235,41428
"14","e05105-B",42233,40660,40586,40047,38574,38570,35910,35905,35219
"15","e05106-A",46843,44999,44972,44599,43779,43779,43250,43250,42423
"16","e05106-B",33938,32578,32544,32293,31510,31510,31164,31163,30568
"17","e05107-A",1910,1828,1718,1470,1262,1262,1262,903,0
"18","e05107-B",5358,5123,5046,5041,4825,4704,4704,4671,4587
"19","e05108-A",43643,41917,41872,41635,40734,40734,39808,39808,39048
"20","e05108-B",35291,33919,33827,33581,32713,32713,32057,32057,31445
"21","e05109-A",33248,31933,31898,31595,30526,30526,29172,29172,28615
"22","e05109-B",31719,30480,30435,30020,28934,28934,28009,28000,27466
"23","e05110-A",28566,27331,27062,26943,25141,25141,24863,24852,24378
"24","e05110-B",29923,28768,28578,28183,26561,26380,25996,25996,25500
"25","e05111-A",40686,39165,39151,38810,37835,37835,36695,36695,35994
"26","e05111-B",34721,33461,33440,33098,32135,32135,31049,31049,30456
"27","e05112-A",39237,37673,37560,37041,36070,36070,35144,34937,34270
"28","e05112-B",33757,32455,32425,32182,31423,31423,31000,31000,30408
"29","e05113-A",53476,51368,51294,51060,49417,49417,48167,48167,47247
"30","e05113-B",44126,42453,42394,42214,40811,40811,39889,39885,39123
"31","e05114-A",21567,20709,20667,20501,19231,19231,18893,18826,18806
"32","e05114-B",18206,17485,17395,17256,16042,16042,15740,15677,15378
"33","e05115-A",31503,30236,29987,29845,28327,28327,28114,28114,27578
"34","e05115-B",31563,30351,30318,30052,29411,29411,29094,28566,28021
"35","e05116-A",21880,21032,20879,20879,20304,20220,20219,18369,18019
"36","e05116-B",24103,23195,23169,22792,21820,21811,21623,21558,21147
"37","e05117-A",42899,41275,41199,40841,39557,39557,37522,37522,36805
"38","e05117-B",37949,36548,36515,36112,34935,34935,33240,33240,32605
"39","e05118-A",35485,34102,34067,33913,33225,33134,32817,32812,32186
"40","e05118-B",33316,31985,31965,31724,30941,30936,30496,30496,29914
"41","e05119-A",32867,31679,31652,31415,30396,30396,30212,30050,29477
"42","e05119-B",32490,31315,31264,30911,29642,29642,29404,29356,28795
"43","e05120-A",32784,31568,31517,31271,30412,30412,29692,29692,29125
"44","e05120-B",26719,25685,25654,25303,24555,24555,24062,24062,23603
"45","e05121-A",49939,47999,47981,47529,46228,46228,44966,44965,44106
"46","e05121-B",43119,41455,41385,40927,39893,39893,38292,38285,37554
"47","e05122-A",35247,33779,33550,33433,31556,31556,30973,30438,29857
"48","e05122-B",37364,35910,35811,35522,34057,34052,33422,32763,32729
"49","e05123-A",43042,41325,41253,40965,39544,39544,36662,36662,35961
"50","e05123-B",30184,28976,28857,28568,27293,27293,25698,25698,25207
"51","e05124-A",45971,44170,44130,43887,42757,42757,41778,41778,40980
"52","e05124-B",36838,35377,35343,35071,34139,34139,33243,33243,32608
"53","e05125-A",32243,30959,30922,30755,29954,29954,29741,29600,29035
"54","e05125-B",2531,2431,2339,2291,1849,1849,1849,1435,0
"55","e05126-A",41807,40148,40130,39935,39060,39060,38050,38050,37323
"56","e05126-B",37747,36235,36191,35969,35050,35050,34145,34145,33493
"57","e05127-A",46023,44361,44343,44128,43446,43446,43198,43194,42368
"58","e05127-B",37664,36270,36243,36096,35500,35500,35246,35242,34569
"59","e05128-A",1126,1066,1058,1002,879,879,879,853,0
"60","e05128-B",1208,1156,1141,1102,986,986,986,817,0
"61","e05129-A",70754,68026,67980,67723,66679,66658,65993,65977,64716
"62","e05129-B",60009,57720,57681,57366,56319,56312,55603,55339,54282
"63","e05130-A",35631,34267,34157,33745,31698,31698,27913,27913,27380
"64","e05130-B",31771,30481,30356,29948,27808,27808,24614,24614,24144
"65","e05131-A",27020,25913,25659,25492,24622,24557,24547,22270,21846
